,Rank,NOC,Gold,Silver,Bronze,Total,Year,Athlete_Count,Host,game_sum
1347,0.0,Chad,0.0,0.0,0.0,0.0,1992,0.0,0.0,2
1348,0.0,Chad,0.0,0.0,0.0,0.0,1972,0.0,0.0,2
1349,0.0,Chad,0.0,0.0,0.0,0.0,1996,0.0,0.0,1
1350,0.0,Chad,0.0,0.0,0.0,0.0,2016,0.0,0.0,1
1351,0.0,Chad,0.0,0.0,0.0,0.0,1984,0.0,0.0,1
1352,0.0,Chad,0.0,0.0,0.0,0.0,1988,0.0,0.0,1
1353,0.0,Chad,0.0,0.0,0.0,0.0,1964,0.0,0.0,1
1354,0.0,Chad,0.0,0.0,0.0,0.0,1968,0.0,0.0,1
1355,0.0,Chad,0.0,0.0,0.0,0.0,2000,0.0,0.0,1
1356,0.0,Chad,0.0,0.0,0.0,0.0,2004,0.0,0.0,1
1357,0.0,Chad,0.0,0.0,0.0,0.0,2008,0.0,0.0,1
1358,0.0,Chad,0.0,0.0,0.0,0.0,2012,0.0,0.0,2
1359,0.0,Chad,0.0,0.0,0.0,0.0,2020,0.0,0.0,3
1360,0.0,Chad,0.0,0.0,0.0,0.0,2024,0.0,0.0,3
1439,0.0,Nicaragua,0.0,0.0,0.0,0.0,2004,0.0,0.0,3
1440,0.0,Nicaragua,0.0,0.0,0.0,0.0,1976,0.0,0.0,6
1441,0.0,Nicaragua,0.0,0.0,0.0,0.0,2008,0.0,0.0,4
1442,0.0,Nicaragua,0.0,0.0,0.0,0.0,1992,0.0,0.0,6
1443,0.0,Nicaragua,0.0,0.0,0.0,0.0,1996,0.0,0.0,5
1444,0.0,Nicaragua,0.0,0.0,0.0,0.0,1980,0.0,0.0,3
1445,0.0,Nicaragua,0.0,0.0,0.0,0.0,1968,0.0,0.0,3
1446,0.0,Nicaragua,0.0,0.0,0.0,0.0,2012,0.0,0.0,4
1447,0.0,Nicaragua,0.0,0.0,0.0,0.0,1972,0.0,0.0,3
1448,0.0,Nicaragua,0.0,0.0,0.0,0.0,1984,0.0,0.0,2
1449,0.0,Nicaragua,0.0,0.0,0.0,0.0,2000,0.0,0.0,5
1450,0.0,Nicaragua,0.0,0.0,0.0,0.0,2016,0.0,0.0,4
1451,0.0,Nicaragua,0.0,0.0,0.0,0.0,2020,0.0,0.0,6
1452,0.0,Nicaragua,0.0,0.0,0.0,0.0,2024,0.0,0.0,6
1499,0.0,Iraq,0.0,0.0,0.0,0.0,1964,0.0,0.0,3
1500,0.0,Iraq,0.0,0.0,0.0,0.0,2004,0.0,0.0,7
1501,0.0,Iraq,0.0,0.0,0.0,0.0,2016,0.0,0.0,5
1502,0.0,Iraq,0.0,0.0,0.0,0.0,1980,0.0,0.0,5
1503,0.0,Iraq,0.0,0.0,0.0,0.0,1960,0.0,0.0,5
1504,0.0,Iraq,0.0,0.0,0.0,0.0,2008,0.0,0.0,2
1505,0.0,Iraq,0.0,0.0,0.0,0.0,2012,0.0,0.0,7
1506,0.0,Iraq,0.0,0.0,0.0,0.0,1992,0.0,0.0,3
1507,0.0,Iraq,0.0,0.0,0.0,0.0,1988,0.0,0.0,5
1508,0.0,Iraq,0.0,0.0,0.0,0.0,1984,0.0,0.0,4
1509,0.0,Iraq,0.0,0.0,0.0,0.0,1948,0.0,0.0,2
1510,0.0,Iraq,0.0,0.0,0.0,0.0,2000,0.0,0.0,2
1511,0.0,Iraq,0.0,0.0,0.0,0.0,1996,0.0,0.0,3
1512,0.0,Iraq,0.0,0.0,0.0,0.0,1968,0.0,0.0,3
